,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumStorePurchases,kmeans_cluster,agglomerative_cluster,dbscan_cluster
79,56046.0,0,0,577,0,64,0,0,51,10,8,1,2,16
80,29760.0,1,0,64,4,68,7,5,17,3,4,0,1,1
81,26304.0,1,0,4,1,5,2,0,4,1,2,0,1,0
82,23559.0,1,0,25,5,19,7,0,23,3,3,0,1,6
83,38620.0,0,0,112,17,44,34,22,89,2,3,0,1,6
84,81361.0,0,0,163,23,424,27,65,76,3,13,1,0,17
85,29440.0,1,1,17,8,14,10,4,3,1,4,0,1,1
86,36138.0,1,1,130,0,16,0,0,5,3,4,0,1,1
87,50388.0,0,1,292,6,37,0,3,34,6,6,0,2,2
88,79593.0,0,0,350,60,568,110,133,145,5,7,1,0,18
89,54178.0,0,1,135,9,39,4,0,7,2,5,0,1,7
90,51741.5,2,1,230,42,192,49,37,53,7,8,1,2,16
91,51741.5,1,1,7,0,8,2,0,1,1,2,0,1,0
92,51741.5,0,0,445,37,359,98,28,18,2,8,1,0,-1
93,42394.0,1,0,15,2,10,0,1,4,1,3,0,1,6
94,23626.0,1,0,27,2,14,0,0,0,3,3,0,1,6
95,30096.0,1,0,5,3,11,12,5,9,2,3,0,1,6
96,47916.0,0,1,505,0,26,0,0,75,7,6,0,2,19
97,51813.0,1,1,51,2,7,0,1,2,2,3,0,1,6
98,78497.0,0,0,207,26,447,75,0,223,5,12,1,0,-1
99,50150.0,0,0,135,46,92,65,61,11,5,7,0,1,4
100,47823.0,0,1,53,1,5,2,1,10,2,3,0,1,6
101,34554.0,0,1,41,1,6,2,0,5,2,3,0,1,6
102,85693.0,0,1,386,172,183,185,132,111,9,11,1,2,-1
103,65846.0,0,0,562,81,276,80,40,81,6,6,1,0,-1
104,87195.0,0,0,217,76,690,50,26,38,3,5,1,0,-1
105,24594.0,1,0,1,3,6,10,0,9,1,3,0,1,6
106,49096.0,1,1,144,1,32,2,1,7,4,4,0,1,1
107,52413.0,0,2,295,106,271,75,98,65,6,12,1,2,-1
108,38557.0,1,0,76,3,31,4,4,27,3,3,0,1,6
109,89058.0,0,0,454,194,106,31,22,43,5,4,1,0,-1
110,77298.0,0,1,425,115,292,23,35,79,6,11,1,0,-1
111,68126.0,0,0,1332,17,311,23,51,86,7,5,1,0,-1
112,57288.0,0,1,527,0,21,0,0,60,8,8,1,2,16
113,86037.0,0,0,490,44,125,29,20,22,6,11,1,2,-1
114,43974.0,1,0,378,0,101,0,0,72,6,6,0,2,2
115,50785.0,1,1,64,1,21,0,1,27,2,3,0,1,6
116,90765.0,0,0,547,99,812,151,82,33,4,5,1,0,-1
117,36550.0,1,0,47,90,94,123,103,120,9,5,0,1,7
118,30753.0,1,1,12,5,25,0,9,30,1,3,0,1,6
119,21918.0,1,0,1,6,7,11,5,3,2,3,0,1,6
120,56129.0,0,1,320,48,133,39,72,48,6,10,1,2,12
121,32557.0,1,0,34,3,29,0,4,10,2,3,0,1,6
122,19510.0,2,0,9,0,7,3,4,7,1,3,0,1,6
123,30992.0,1,0,17,0,14,7,3,2,1,3,0,1,6
124,101970.0,0,0,722,27,102,44,72,168,6,13,1,2,-1
125,71488.0,0,0,162,33,124,40,28,172,3,7,1,2,4
126,79607.0,0,0,450,133,951,173,0,216,3,6,1,0,-1
127,54348.0,1,1,70,0,16,0,0,4,2,4,0,1,1
128,51741.5,0,1,352,0,27,10,0,15,6,7,0,2,4
129,77376.0,1,1,492,19,110,16,12,12,6,10,1,2,-1
130,62998.0,0,1,120,58,73,65,89,58,5,5,0,1,7
131,61331.0,1,1,534,5,47,0,5,41,11,6,1,2,2
132,73448.0,0,0,236,106,189,23,41,130,7,9,1,2,-1
133,51741.5,0,1,231,65,196,38,71,124,6,7,0,2,4
134,41551.0,1,1,220,0,33,3,0,23,5,5,0,1,7
135,62981.0,0,0,796,14,590,38,44,0,4,13,1,0,-1
136,9548.0,1,0,0,1,3,10,6,9,1,3,0,1,6
137,33762.0,2,1,53,1,34,2,0,16,2,2,0,1,0
138,35860.0,1,1,15,0,8,4,2,20,1,2,0,1,0
139,36921.0,1,1,17,1,12,3,1,4,2,3,0,1,6
140,92859.0,0,0,962,61,921,52,61,20,5,12,1,0,-1
141,65104.0,0,1,738,0,232,13,20,50,3,7,1,0,20
142,86111.0,0,0,399,28,756,36,40,126,5,10,1,0,-1
143,68352.0,0,1,614,16,132,43,33,33,8,9,1,2,21
144,41883.0,1,0,32,34,41,73,16,116,4,3,0,1,6
145,59809.0,0,2,598,16,141,32,41,49,3,6,1,2,-1
146,23957.0,1,0,2,1,18,20,11,16,2,3,0,1,6
147,38547.0,1,0,6,1,10,0,1,4,1,2,0,1,0
148,35688.0,2,1,73,3,90,12,1,32,4,4,0,1,1
149,49605.0,0,0,42,16,29,12,20,8,2,4,0,1,1
150,59354.0,0,2,295,21,78,39,13,13,4,7,0,2,4
151,65747.0,0,1,346,17,48,23,13,13,8,6,0,2,2
152,46344.0,0,1,233,20,57,8,20,91,7,5,0,1,7
153,34176.0,1,0,5,7,24,19,14,20,3,4,0,1,1
154,61010.0,0,1,888,0,57,0,0,76,8,11,1,2,-1
155,69372.0,0,0,997,26,269,34,13,42,10,6,1,0,-1
156,49967.0,0,1,212,6,69,4,12,3,6,5,0,1,7
157,60199.0,1,2,8,1,7,2,0,0,0,3,0,1,6
158,55375.0,0,1,42,11,57,10,28,14,1,6,0,1,2
159,80317.0,0,0,536,11,387,149,91,57,3,10,1,0,48
160,30523.0,2,1,5,0,3,0,0,5,1,2,0,1,0
161,70356.0,0,0,1349,16,249,43,16,33,10,9,1,0,-1
162,23228.0,1,0,53,3,49,7,4,5,3,4,0,1,1
163,74165.0,0,0,1001,12,240,16,12,12,5,10,1,2,-1
164,157243.0,0,1,20,2,1582,1,2,1,0,0,1,0,-1
165,43482.0,2,1,18,1,32,6,3,28,2,4,0,1,1
166,62551.0,0,0,125,16,98,134,21,27,6,4,0,1,1
167,52332.0,0,0,212,5,33,7,0,2,3,6,0,1,2
168,66951.0,0,0,277,162,305,173,76,124,3,7,1,0,-1
169,26091.0,1,1,15,10,19,8,17,20,2,3,0,1,6
170,33456.0,1,1,7,3,10,8,1,7,1,3,0,1,6
171,28718.0,1,0,12,4,6,11,8,16,2,3,0,1,6
172,50447.0,2,0,85,7,24,2,3,27,3,3,0,1,6
173,53537.0,1,1,81,0,6,0,0,6,2,3,0,1,6
174,52074.0,0,1,59,0,12,0,0,48,2,2,0,1,0
175,80427.0,0,1,1149,71,449,69,71,26,11,8,1,0,-1
176,83837.0,0,0,847,66,119,86,89,111,9,5,1,0,-1
177,38853.0,1,1,29,0,14,0,0,2,2,3,0,1,6
178,38285.0,2,1,2,0,5,2,0,1,0,3,0,1,6
179,78497.0,0,0,207,26,447,75,0,223,5,12,1,0,-1
180,51650.0,0,1,152,3,22,2,5,7,4,4,0,1,1
181,16248.0,1,0,12,11,10,3,12,9,2,3,0,1,6
182,66835.0,0,0,620,26,195,34,17,141,6,13,1,2,22
183,30477.0,1,0,47,1,6,0,0,12,1,3,0,1,6
184,28249.0,0,0,1,9,7,2,14,10,2,3,0,1,6
185,25271.0,1,0,10,1,18,10,4,7,1,2,0,1,0
186,32303.0,0,1,35,0,2,0,0,2,1,4,0,1,1
187,61286.0,0,1,356,0,107,19,9,117,7,8,1,2,16
188,74068.0,0,0,783,30,537,140,76,15,4,9,1,0,-1
189,45759.0,1,1,42,1,18,3,0,4,2,3,0,1,6
190,24882.0,1,0,1,4,10,29,0,36,1,2,0,1,0
191,66973.0,0,0,466,22,432,147,113,102,8,12,1,0,-1
192,36640.0,1,0,15,6,8,7,4,25,2,2,0,1,0
193,38872.0,1,0,23,3,21,3,19,22,3,3,0,1,6
194,51148.0,1,1,235,6,45,8,9,12,5,6,0,1,2
195,31353.0,1,1,10,0,10,3,1,7,1,2,0,1,0
196,69661.0,0,0,656,16,106,32,16,8,7,12,1,2,23
197,80067.0,0,0,519,17,813,27,173,51,4,6,1,0,-1
198,86718.0,0,0,344,189,482,50,33,172,5,5,1,0,-1
199,46854.0,1,1,96,1,79,7,1,79,5,3,0,1,6
200,69142.0,0,1,448,4,34,6,4,39,8,7,1,2,4
201,75922.0,0,0,265,138,553,224,23,92,4,9,1,0,24
202,63693.0,0,1,587,43,337,42,87,54,11,9,1,0,-1
203,102160.0,0,0,763,29,138,76,176,58,7,10,1,2,-1
204,40637.0,1,1,22,0,13,0,0,3,1,3,0,1,6
205,18890.0,0,0,6,4,1,7,2,15,0,2,0,1,0
206,29604.0,1,0,7,6,13,7,6,14,1,3,0,1,6
207,48721.0,1,1,81,18,113,47,13,21,4,5,0,1,7
208,44794.0,0,1,54,0,7,0,0,4,2,3,0,1,6
209,64497.0,0,1,1170,48,320,42,32,192,11,9,1,0,-1
210,46097.0,0,1,72,24,68,65,4,8,3,6,0,1,2
211,77972.0,0,0,613,22,319,33,102,12,4,9,1,0,-1
212,44377.0,1,1,224,0,30,0,0,10,5,5,0,1,7
213,46014.0,1,1,410,0,59,19,9,44,7,8,0,2,16
214,70951.0,0,0,239,10,554,254,87,54,3,9,1,0,24
215,41443.0,1,0,171,7,171,25,19,89,8,5,0,1,7
216,52195.0,2,1,12,0,4,0,0,1,1,2,0,1,0
217,83790.0,0,0,1076,16,417,42,48,16,8,6,1,0,-1
218,44551.0,0,1,182,4,33,0,0,66,4,5,0,1,7
219,69508.0,1,0,824,32,162,42,32,43,11,11,1,2,67
220,45204.0,1,0,30,11,25,29,1,18,1,4,0,1,1
221,72460.0,0,0,377,10,540,80,30,10,3,7,1,0,-1
222,77622.0,0,2,520,7,154,19,0,14,6,11,1,2,-1
223,30732.0,1,0,155,1,25,0,1,3,4,4,0,1,1
224,63887.0,0,1,897,23,207,15,11,92,9,12,1,2,-1
225,42011.0,1,0,131,0,16,2,1,39,3,4,0,1,1
226,51369.0,0,1,297,7,79,0,11,182,8,4,0,1,1
227,51537.0,0,1,787,20,204,0,0,92,2,11,1,2,-1
228,79930.0,0,0,792,86,740,67,51,17,3,8,1,0,-1
229,34320.0,1,0,4,1,9,3,0,0,1,2,0,1,0
230,37070.0,1,1,231,7,137,4,15,39,5,8,0,2,25
231,81975.0,0,1,983,76,184,180,138,27,6,4,1,0,-1
232,38590.0,1,0,3,1,8,4,3,3,1,2,0,1,0
233,15033.0,0,0,0,4,5,6,0,4,1,3,0,1,6
234,62745.0,0,1,562,21,464,28,10,32,7,11,1,0,-1
235,22212.0,1,0,5,9,20,6,8,21,2,4,0,1,1
236,23661.0,1,0,18,0,4,0,0,1,1,3,0,1,6
237,79761.0,0,1,415,5,124,15,35,11,5,11,1,2,-1
238,7500.0,1,0,5,3,10,12,7,20,3,3,0,1,6
239,60182.0,0,1,8,0,5,7,0,2,1,2,0,1,0
240,73455.0,0,0,901,61,757,186,163,20,6,10,1,0,-1
241,64961.0,0,1,382,114,276,75,124,38,6,4,1,0,-1
242,22804.0,1,0,14,1,7,2,1,1,2,2,0,1,0
243,73687.0,0,0,559,153,503,218,13,181,3,9,1,0,-1
244,61074.0,0,1,789,0,133,0,28,152,11,8,1,2,-1
245,31686.0,1,1,11,0,5,0,0,1,1,3,0,1,6
246,80134.0,1,0,1218,16,272,104,0,80,5,6,1,0,-1
247,75027.0,0,1,925,64,179,133,12,77,9,6,1,0,-1
248,67546.0,0,0,864,134,768,150,38,172,4,5,1,0,-1
249,65176.0,0,1,960,28,183,220,70,70,9,6,1,0,-1
250,31160.0,1,0,16,3,25,6,1,13,2,3,0,1,6
251,29938.0,1,0,3,3,7,0,2,11,1,3,0,1,6
252,102692.0,0,0,168,148,444,32,172,148,6,13,1,0,-1
253,26490.0,0,0,45,47,52,21,20,25,3,5,0,1,26
254,75702.0,1,1,650,28,353,45,42,30,4,11,1,0,-1
255,30899.0,1,0,24,0,8,0,0,1,1,3,0,1,6
256,63342.0,0,1,918,21,118,13,10,21,8,5,1,0,-1
257,45989.0,0,1,138,33,87,28,24,12,3,7,0,1,4
258,18701.0,1,1,12,4,2,10,6,10,2,4,0,1,1
259,40737.0,2,1,11,0,4,0,0,2,1,2,0,1,0
260,15287.0,1,0,1,2,8,4,3,13,1,2,0,1,0
261,69674.0,0,2,554,41,215,11,0,24,10,10,1,2,-1
262,44159.0,1,0,167,2,62,24,13,7,4,6,0,1,2
263,37717.0,1,0,9,0,6,4,1,5,1,2,0,1,0
264,43776.0,1,1,177,2,71,3,2,20,5,4,0,1,1
265,38179.0,1,1,38,4,22,4,2,20,3,3,0,1,6
266,80124.0,0,0,483,84,398,205,84,241,3,8,1,0,-1
267,38097.0,1,1,77,2,35,0,1,69,3,2,0,1,0
268,72940.0,0,0,182,74,298,162,149,116,3,6,1,0,-1
269,22070.0,1,0,10,7,19,8,2,21,2,2,0,1,0
270,69267.0,0,0,778,44,499,95,73,146,3,5,1,0,-1
271,31788.0,1,0,16,7,23,0,8,6,3,4,0,1,1
272,61905.0,0,1,167,0,43,6,2,13,4,4,0,1,1
273,29315.0,1,1,13,2,14,8,7,4,2,4,0,1,1
274,33378.0,1,1,33,6,40,3,7,10,2,4,0,1,1
275,66313.0,0,1,625,7,99,10,22,7,6,12,1,2,23
276,60714.0,0,0,216,162,224,101,92,162,7,10,1,2,27
277,77882.0,0,0,68,129,396,188,22,15,3,5,1,0,-1
278,69867.0,0,0,196,0,512,33,130,54,3,8,1,0,-1
279,63841.0,0,1,635,15,100,20,7,131,9,9,1,2,21
280,24480.0,1,0,4,19,9,28,25,17,3,4,0,1,1
281,51369.0,0,1,297,7,79,0,11,182,8,4,0,1,1
282,37760.0,0,0,84,5,38,150,12,28,4,6,0,1,2
283,65640.0,0,1,204,7,149,20,15,66,5,8,1,2,16
284,44319.0,1,1,26,0,8,0,0,3,2,3,0,1,6
285,30631.0,1,0,15,6,20,4,5,20,3,2,0,1,0
286,75278.0,0,0,304,98,230,150,74,74,6,13,1,2,-1
287,50898.0,1,1,285,28,242,55,114,135,6,12,1,2,-1
288,79946.0,0,0,395,183,565,166,141,28,5,5,1,0,11
289,35416.0,0,0,248,3,81,4,3,51,7,5,0,1,7
290,32414.0,0,0,20,6,5,0,9,12,1,3,0,1,6
291,38361.0,1,0,39,0,56,20,8,14,3,3,0,1,6
292,82497.0,0,0,777,129,573,216,21,203,2,9,1,0,-1
293,16626.0,2,0,8,3,22,21,1,13,3,3,0,1,6
294,29672.0,1,1,9,1,3,0,4,8,0,3,0,1,6
295,55951.0,0,1,1241,0,80,0,13,40,3,11,1,2,-1
296,35388.0,1,0,6,4,7,4,3,8,1,3,0,1,6
297,42386.0,1,0,65,4,16,0,4,11,3,3,0,1,6
298,68627.0,0,0,395,15,263,60,54,38,2,6,1,0,28
299,57912.0,0,1,801,0,80,0,0,35,8,12,1,2,-1
300,35246.0,1,1,36,0,12,2,2,10,3,3,0,1,6
301,58821.0,0,1,513,14,154,19,0,28,9,9,1,2,21
302,46377.0,1,0,37,0,46,4,3,0,2,3,0,1,6
303,39747.0,1,0,80,15,93,20,13,52,5,4,0,1,1
304,23976.0,1,0,14,1,21,2,3,25,3,3,0,1,6
305,80950.0,0,0,525,147,112,219,147,63,6,9,1,2,-1
306,27038.0,0,0,1,26,25,17,23,15,3,3,0,1,6
307,77457.0,0,0,675,11,400,15,45,11,2,10,1,0,-1
308,64100.0,0,1,509,0,27,0,0,10,8,6,1,2,2
309,42670.0,0,0,154,2,46,20,4,15,4,4,0,1,1
310,12571.0,1,0,3,5,14,2,12,17,3,3,0,1,6
311,22574.0,2,1,25,0,8,2,0,2,2,3,0,1,6
312,51741.5,0,0,861,138,461,60,30,61,6,12,1,0,-1
313,70893.0,0,0,768,44,561,77,44,14,6,10,1,0,29
314,54198.0,1,1,185,0,28,3,2,17,3,6,0,1,2
315,28839.0,1,1,24,0,7,0,0,1,2,3,0,1,6
316,40321.0,1,1,44,4,21,6,0,27,3,3,0,1,6
317,66503.0,1,0,91,64,128,65,3,50,4,6,0,1,2
318,30833.0,1,1,11,0,7,3,1,6,1,3,0,1,6
319,51741.5,1,2,738,20,172,52,50,20,2,10,1,2,-1
320,64795.0,0,1,412,5,119,38,29,77,3,12,1,2,13
321,34421.0,1,0,3,3,7,6,2,9,1,2,0,1,0
322,47025.0,1,1,16,0,3,0,0,1,1,2,0,1,0
323,64325.0,0,1,731,60,353,78,12,73,10,5,1,0,-1
324,40464.0,0,1,424,17,118,7,23,41,8,8,0,2,-1
325,62187.0,0,0,792,0,275,45,45,126,4,5,1,0,-1
326,14849.0,1,0,21,2,28,3,2,9,2,4,0,1,1
327,27255.0,1,0,22,1,11,0,1,2,1,3,0,1,6
328,54432.0,2,1,33,0,5,0,0,0,1,3,0,1,6
329,29999.0,1,0,68,7,59,10,5,11,3,4,0,1,1
330,24072.0,1,0,9,1,6,3,0,4,1,2,0,1,0
331,33996.0,0,0,40,2,15,8,0,6,1,3,0,1,6
332,66334.0,0,1,909,11,218,0,0,23,9,5,1,0,-1
333,35178.0,1,0,23,1,13,2,2,18,1,2,0,1,0
334,22010.0,1,0,11,2,9,3,0,8,2,3,0,1,6
335,62204.0,0,2,317,46,247,151,46,139,4,12,1,2,30
336,75693.0,0,0,797,153,293,72,97,30,11,6,1,0,31
337,30675.0,1,0,10,2,16,11,2,21,1,3,0,1,6
338,83003.0,0,0,856,61,570,40,25,122,7,8,1,0,-1
339,83532.0,0,0,755,144,562,104,64,224,4,4,1,0,57
340,68655.0,0,0,456,19,832,75,118,38,4,11,1,0,-1
341,41411.0,0,0,37,32,38,11,3,18,2,4,0,1,1
342,55212.0,0,1,1103,0,45,0,0,34,4,11,1,2,-1
343,59292.0,0,1,378,14,68,19,14,14,3,8,1,2,16
344,27190.0,1,0,1,6,7,0,1,3,1,2,0,1,0
345,82623.0,0,0,204,34,204,172,153,173,2,4,1,0,-1
346,44300.0,1,1,30,0,9,0,0,3,1,3,0,1,6
347,84835.0,0,0,189,104,379,111,189,218,4,6,1,0,-1
348,30372.0,1,1,15,0,12,7,3,7,2,3,0,1,6
349,33181.0,1,0,9,0,3,0,0,4,1,2,0,1,0
350,71113.0,0,1,495,33,255,11,33,8,6,9,1,2,-1
351,71952.0,1,0,656,80,455,52,107,93,8,8,1,0,32
352,69759.0,0,0,452,20,514,13,30,0,4,5,1,0,52
353,72099.0,0,0,546,91,410,119,0,22,3,10,1,0,-1
354,60000.0,0,1,1048,0,217,0,0,12,11,5,1,0,-1
355,38643.0,1,1,22,2,14,0,1,10,2,3,0,1,6
356,50737.0,0,1,78,0,11,0,0,10,2,4,0,1,1
357,68462.0,0,0,561,64,785,84,128,48,3,8,1,0,-1
358,65073.0,0,0,629,17,177,69,0,8,5,5,1,2,-1
359,46681.0,0,2,269,15,69,15,19,38,4,4,0,1,1
360,78618.0,0,0,736,163,818,212,163,61,4,10,1,0,-1
361,62187.0,0,1,512,0,83,0,0,41,6,10,1,2,3
362,28442.0,2,0,19,3,10,11,8,6,2,4,0,1,1
363,37717.0,1,0,9,0,6,4,1,5,1,2,0,1,0
364,51479.0,1,1,247,8,160,6,8,65,6,6,0,2,2
365,54803.0,0,1,404,0,92,28,27,142,6,9,1,2,9
366,79530.0,0,0,333,0,815,129,42,29,4,11,1,0,-1
367,31615.0,1,0,2,3,20,6,11,9,2,3,0,1,6
368,72025.0,0,0,833,33,549,151,133,233,4,8,1,0,-1
369,52614.0,0,1,789,0,142,12,9,38,2,8,1,2,-1
370,35684.0,1,0,10,4,7,0,6,3,1,3,0,1,6
371,48178.0,1,1,159,4,45,6,2,38,5,4,0,1,1
372,29548.0,1,0,7,1,6,3,1,11,1,2,0,1,0
373,63810.0,0,1,977,12,253,16,12,101,4,12,1,2,-1
374,38578.0,1,1,38,4,22,3,3,3,3,3,0,1,6
375,46098.0,1,1,57,0,27,0,0,36,3,2,0,1,0
376,22585.0,0,0,3,9,15,13,2,39,1,2,0,1,0
377,30279.0,1,0,10,4,14,4,4,1,1,3,0,1,6
378,66426.0,0,1,1043,24,97,32,24,157,3,10,1,2,-1
379,30822.0,1,0,3,9,13,2,12,12,1,3,0,1,6
380,33581.0,2,0,11,0,5,0,0,1,1,2,0,1,0
381,19986.0,1,0,3,6,5,0,2,6,0,3,0,1,6
382,27421.0,0,0,43,12,96,78,40,55,4,6,0,1,33
383,35688.0,2,1,73,3,90,12,1,32,4,4,0,1,1
384,36143.0,1,0,12,0,1,0,0,6,0,2,0,1,0
385,10245.0,1,0,4,7,7,6,4,13,1,2,0,1,0
386,43795.0,0,1,314,11,53,4,3,107,7,4,0,1,1
387,63381.0,0,1,571,50,142,33,50,159,4,13,1,2,34
388,38823.0,0,1,70,0,11,2,8,23,2,3,0,1,6
389,83664.0,1,1,866,21,151,28,21,86,2,12,1,2,-1
390,90300.0,0,0,594,134,786,33,134,57,5,8,1,0,-1
391,62499.0,1,0,140,4,61,0,13,4,3,6,0,1,2
392,74293.0,0,0,375,152,335,93,91,81,5,6,1,0,35
393,51012.0,0,0,102,9,63,2,9,24,4,4,0,1,1
394,70777.0,0,1,554,35,113,0,7,78,5,12,1,2,-1
395,68682.0,0,0,919,0,505,99,30,45,4,10,1,0,-1
396,43824.0,1,1,96,1,42,12,3,32,3,4,0,1,1
397,15345.0,1,0,5,2,16,3,2,19,1,2,0,1,0
398,23442.0,1,0,2,0,6,8,6,5,1,3,0,1,6
399,14515.0,1,0,6,4,9,6,36,35,2,3,0,1,6
400,31395.0,1,1,23,1,25,0,8,7,2,3,0,1,6
401,75276.0,0,0,610,105,125,137,42,21,9,9,1,2,-1
402,42373.0,1,1,67,5,61,3,8,19,2,5,0,1,7
403,30507.0,0,0,65,36,74,38,20,110,5,4,0,1,1
404,55521.0,1,2,416,0,26,0,0,4,6,6,0,2,2
405,48006.0,1,1,23,0,11,3,2,2,1,3,0,1,6
406,27213.0,1,0,19,3,26,10,9,3,2,4,0,1,1
407,65808.0,1,1,155,7,80,13,7,10,5,5,0,1,7
408,30351.0,1,0,14,0,24,3,3,2,3,2,0,1,0
409,50437.0,0,2,370,9,92,6,9,4,7,8,1,2,16
410,23616.0,1,0,4,22,11,3,7,32,3,3,0,1,6
411,53858.0,0,1,407,53,221,58,150,26,4,6,1,2,-1
412,66465.0,0,1,1200,0,204,38,29,14,11,12,1,2,-1
